,city id,city,country,lat,lon,cloudiness %,humidity %,max temp (F),wind speed (mph),date
302,10722858,Forsytheganj,BY,52.6333,29.7333,21,86,29.46,5.3,1619406638
303,5882953,Aklavik,CA,68.2191,-135.0107,100,73,14.0,9.22,1619406345
304,3694178,Pacasmayo,PE,-7.4006,-79.5714,29,81,67.8,12.95,1619406639
305,1731298,Aloleng,PH,16.1307,119.7824,14,60,83.46,8.03,1619406639
306,2028164,Deputatsky,RU,69.3,139.9,73,82,27.57,4.12,1619406411
307,1485323,Zaykovo,RU,57.5613,62.7568,16,65,42.53,10.16,1619406640
308,95788,Hīt,IQ,33.6416,42.8251,100,17,84.49,9.33,1619406640
309,161616,Balkanabat,TM,39.5108,54.3671,7,30,74.64,2.19,1619406641
310,3703946,Narganá,PA,9.4428,-78.5906,93,80,79.81,12.06,1619406641
311,1512934,Saryagash,KZ,41.4511,69.1701,0,42,66.2,6.91,1619406642
312,1529660,Aksu,CN,41.1231,80.2644,14,20,61.48,7.05,1619406642
313,886990,Marondera,ZW,-18.1853,31.5519,94,67,57.69,2.93,1619406642
314,1791636,Weinan,CN,34.5036,109.5089,90,88,55.4,4.47,1619406643
315,2598243,Soubre,CI,5.7856,-6.6083,100,97,72.43,1.5,1619406643
316,1737486,Bintulu,MY,3.1667,113.0333,40,74,87.8,4.61,1619406643
317,1280037,Shache,CN,38.4167,77.2406,0,15,65.55,6.22,1619406644
318,3887344,Illapel,CL,-31.6308,-71.1653,0,64,63.19,1.61,1619406644
319,2032614,Baruun-Urt,MN,46.6806,113.2792,5,14,47.37,31.79,1619406348
320,3466980,Caravelas,BR,-17.7125,-39.2481,2,85,75.29,6.6,1619406645
